Respondent,Age
4,25.0
5,31.0
8,36.0
9,30.0
10,22.0
11,23.0
12,49.0
13,53.0
14,27.0
16,45.0
17,25.0
18,32.0
19,24.0
20,40.0
21,23.0
23,27.0
24,45.0
29,18.0
32,31.0
33,39.0
34,29.0
35,16.0
36,34.0
37,19.0
38,35.0
40,20.0
42,32.0
44,32.0
45,22.0
46,24.0
47,53.0
48,38.0
49,23.0
50,57.0
52,28.0
53,17.0
54,44.0
56,27.0
57,44.0
59,38.0
61,31.0
62,20.0
63,21.0
64,34.0
65,34.0
66,21.0
67,35.0
68,20.0
69,25.0
70,25.0
71,23.0
72,25.0
74,34.0
76,19.0
78,27.0
79,28.0
80,32.0
81,18.0
82,48.0
83,20.0
84,25.0
85,21.0
86,26.0
87,22.0
88,21.0
89,28.0
91,28.0
92,31.0
93,42.0
94,21.0
96,29.0
97,30.0
98,29.0
99,30.0
100,42.0
101,55.0
102,37.0
103,20.0
104,38.0
105,28.0
106,24.0
107,29.0
110,45.0
111,25.0
112,28.0
113,50.0
115,23.0
116,38.0
117,30.0
118,20.0
119,35.0
120,24.0
121,26.0
122,23.0
123,26.0
124,38.0
125,41.0
126,35.0
127,64.0
128,23.0
131,37.0
132,38.0
134,30.0
135,53.0
137,63.0
138,25.0
139,30.0
140,49.0
141,23.0
142,27.0
143,25.0
144,32.0
145,26.0
146,33.0
147,28.0
148,34.0
149,36.0
151,35.0
152,30.0
153,30.0
154,42.0
155,43.0
156,25.0
157,26.0
158,40.0
160,32.0
161,24.0
162,38.0
163,33.0
164,18.0
165,30.0
166,28.0
167,22.0
168,25.0
169,32.0
170,26.0
171,31.0
172,51.0
173,26.0
174,22.0
175,27.0
176,21.0
178,23.0
179,26.0
180,34.0
181,24.0
182,29.0
185,24.0
186,31.0
187,43.0
189,30.0
191,23.0
193,29.0
194,21.0
195,26.0
196,23.0
197,17.0
198,40.0
199,34.0
200,53.0
201,27.0
202,22.0
203,23.0
204,57.0
205,37.0
206,18.0
207,35.0
208,40.0
209,60.0
210,34.0
211,34.0
212,32.0
214,41.0
215,34.0
217,32.0
218,29.0
219,24.0
220,22.0
221,24.0
222,29.0
223,44.0
224,45.0
226,30.0
227,24.0
228,23.0
229,32.0
230,23.0
231,50.0
232,20.0
233,35.0
234,22.0
235,35.0
236,26.0
237,26.0
239,28.0
240,59.0
241,28.0
242,37.0
243,29.0
245,25.0
246,25.0
247,35.0
250,23.0
251,28.0
252,27.0
253,44.0
254,27.0
255,32.0
256,29.0
257,23.0
258,53.0
259,51.0
260,62.0
261,30.0
262,37.0
263,32.0
264,33.0
265,51.0
266,69.0
267,27.0
269,44.0
270,38.0
271,22.0
272,32.0
273,21.0
274,26.0
276,32.0
277,43.0
278,25.0
280,31.0
281,26.0
282,23.0
283,18.0
284,28.0
285,18.0
286,28.0
287,39.0
288,40.0
289,28.0
290,45.0
291,18.0
292,28.0
293,52.0
294,40.0
295,31.0
296,49.0
297,42.0
298,27.0
299,24.0
300,42.0
301,32.0
302,42.0
303,48.0
304,52.0
305,24.0
306,24.0
307,41.0
308,59.0
309,28.0
310,27.0
311,30.0
313,46.0
314,36.0
315,46.0
316,17.0
318,48.0
319,49.5
322,24.0
323,26.0
324,48.0
325,29.0
326,21.0
327,37.0
328,32.0
329,42.0
330,30.0
331,37.0
332,27.0
333,20.0
335,32.0
336,39.0
337,35.0
338,24.0
339,27.0
340,33.0
341,32.0
342,46.0
343,50.0
344,26.0
345,34.0
346,23.0
348,27.0
349,27.0
350,32.0
351,27.0
352,29.0
353,18.0
354,25.0
356,23.0
357,20.0
358,25.0
359,25.0
360,27.0
361,28.0
362,36.0
363,40.0
364,23.0
365,29.0
366,32.0
367,28.0
369,37.0
370,25.0
371,24.0
372,36.0
373,33.0
374,40.0
375,29.0
377,49.0
378,26.0
379,40.0
380,38.0
381,26.0
382,33.0
383,30.0
384,56.0
385,24.0
386,43.0
387,28.0
389,42.0
390,26.0
391,23.0
394,24.0
396,44.0
398,53.0
399,40.0
400,63.0
401,34.0
402,22.0
403,34.0
404,17.0
405,45.0
406,22.0
407,21.0
409,33.0
410,20.0
411,27.0
412,23.0
413,38.0
414,24.0
415,47.0
416,31.0
417,38.0
418,40.0
419,38.0
420,31.0
421,34.0
422,45.0
423,26.0
424,43.0
425,27.0
426,37.0
427,26.0
428,21.0
429,37.0
430,28.0
431,44.0
433,24.0
434,41.0
435,37.0
436,24.0
437,33.0
438,48.0
439,56.0
441,28.0
442,22.0
443,24.0
444,25.0
445,31.0
447,31.0
448,41.0
449,27.0
450,20.0
451,38.0
452,26.0
453,22.0
454,35.0
455,19.0
456,26.0
457,37.0
458,42.0
459,18.0
460,38.0
461,43.0
462,23.0
463,43.0
464,22.0
465,35.0
466,25.0
467,26.0
468,21.0
469,23.0
470,33.0
471,21.0
472,19.0
473,28.0
474,25.0
476,41.0
477,28.0
478,24.0
479,31.0
480,60.0
481,30.0
482,33.0
483,24.0
484,46.0
485,49.0
486,42.0
487,34.0
488,27.0
489,39.0
490,29.0
491,19.0
492,24.0
494,17.0
495,37.0
496,33.0
497,24.0
498,32.0
499,40.0
500,31.0
501,41.0
502,41.0
503,34.0
504,52.0
505,24.0
507,22.0
509,32.0
511,36.0
512,20.0
513,30.0
514,31.0
515,22.0
516,34.0
517,30.0
518,27.0
520,35.0
521,36.0
522,60.0
523,15.0
524,23.0
525,34.0
526,40.0
527,31.0
528,25.0
529,33.0
530,50.0
531,25.0
532,33.0
533,37.0
534,30.0
535,46.0
536,36.0
537,40.0
538,35.0
539,26.0
540,32.0
541,20.0
542,23.0
543,43.0
544,32.0
545,33.0
546,24.0
547,18.0
549,24.0
550,17.0
551,20.0
552,25.0
554,16.0
555,40.0
557,26.0
558,34.0
559,37.0
560,48.0
561,19.0
562,27.0
563,29.0
564,22.0
565,24.0
566,28.0
567,41.0
568,36.0
569,32.0
570,32.0
571,25.0
572,36.0
573,26.0
574,28.0
575,19.0
576,29.0
577,53.0
578,72.0
579,19.0
580,13.0
581,49.0
583,48.0
584,38.0
585,30.0
586,35.0
587,28.0
588,52.0
590,41.0
591,27.0
592,57.0
593,38.0
595,37.0
596,37.0
597,31.0
598,27.0
599,24.0
600,49.0
601,17.0
602,30.0
603,40.0
604,34.0
605,27.0
606,39.0
607,25.0
608,33.0
609,31.0
610,19.0
611,29.0
613,30.0
615,35.0
616,36.0
617,37.0
618,27.0
619,37.0
620,21.0
621,32.0
622,27.0
623,18.0
624,26.0
626,25.0
627,35.0
628,38.0
629,49.0
630,34.0
631,21.0
632,37.0
633,18.0
634,25.0
635,35.0
636,28.0
637,46.0
638,56.0
639,27.0
640,25.0
641,27.0
642,71.0
643,26.0
644,53.0
645,43.0
647,63.0
648,32.0
649,23.0
650,30.0
651,22.0
652,25.0
653,36.0
654,22.0
656,30.0
657,21.0
658,35.0
660,32.0
661,32.0
662,22.0
663,20.0
664,24.0
665,24.0
666,49.0
668,36.0
669,33.0
670,35.0
671,24.0
672,22.0
674,57.0
675,31.0
676,29.0
677,31.0
678,24.0
679,32.0
680,48.0
681,56.0
682,28.0
684,33.0
685,31.0
687,24.0
688,21.0
689,33.0
690,27.0
691,25.0
692,54.0
694,41.0
695,49.0
696,30.0
697,28.0
699,39.0
700,27.0
701,37.0
702,30.0
703,50.0
704,26.0
705,42.0
706,20.0
707,32.0
708,49.0
709,33.0
710,29.0
711,23.0
712,25.0
713,26.0
714,28.0
716,44.0
717,22.0
718,51.0
719,70.0
720,26.0
721,36.0
722,36.0
723,30.0
725,62.0
726,45.0
727,23.0
728,17.0
729,24.0
730,24.0
731,24.0
732,27.0
734,35.0
735,28.0
736,30.0
738,22.0
739,54.0
740,26.0
741,50.0
742,24.0
743,30.0
744,39.0
745,34.0
746,47.0
747,21.0
748,33.0
749,45.0
750,36.0
752,20.0
753,24.0
754,53.0
756,30.0
757,55.0
758,45.0
759,40.0
760,23.0
761,43.0
762,32.0
765,22.0
766,26.0
767,24.0
768,21.0
769,11.0
770,30.0
771,27.0
772,32.0
773,22.0
774,35.0
775,35.0
776,27.0
777,37.0
778,24.0
779,24.0
780,56.0
781,14.0
783,24.0
784,24.0
785,41.0
786,21.0
787,31.0
788,45.0
789,32.0
790,27.0
792,20.0
793,51.0
794,53.0
795,28.0
796,34.0
798,27.0
799,28.0
800,26.0
801,40.0
802,26.0
803,23.0
805,39.0
806,19.0
807,34.0
808,29.0
809,28.0
810,26.0
811,28.0
812,25.0
813,43.0
814,30.0
815,34.0
816,41.0
817,61.0
818,40.0
819,29.0
820,30.0
821,29.0
822,20.0
823,43.0
824,43.0
825,18.0
827,52.0
828,21.0
829,45.0
830,25.0
831,45.0
832,23.0
833,29.0
834,36.0
835,32.0
836,32.0
837,42.0
839,38.0
840,63.0
841,28.0
842,37.0
843,23.0
844,29.0
845,34.0
849,39.0
850,45.0
852,25.0
853,51.0
854,29.0
855,22.0
856,42.0
857,25.0
858,32.0
859,37.0
860,40.0
861,32.0
862,27.0
863,27.0
864,49.0
865,28.0
866,38.0
867,39.0
868,25.0
869,24.0
870,48.0
871,16.0
872,28.0
873,33.0
874,17.0
875,30.0
876,27.0
877,26.0
878,48.0
879,47.0
881,59.0
882,38.0
883,35.0
884,41.0
885,24.0
886,42.0
887,38.0
888,26.0
890,32.0
891,24.0
892,22.0
893,26.0
894,26.0
895,27.0
896,30.0
897,27.0
899,37.0
900,32.0
901,29.0
902,27.0
903,47.0
904,36.0
905,33.0
906,22.0
907,34.0
908,25.0
910,33.0
911,38.0
912,35.0
913,37.0
914,20.0
915,23.0
916,33.0
917,27.0
918,36.0
919,29.0
920,43.0
921,21.0
922,31.0
923,30.0
924,35.0
925,34.0
928,26.0
930,36.0
931,33.0
932,32.0
933,32.0
934,19.0
935,33.0
936,37.0
937,27.0
938,32.0
939,24.0
940,20.0
941,35.0
942,55.0
943,36.0
944,31.0
945,31.0
946,33.0
949,14.0
950,30.0
951,32.0
952,31.0
953,42.0
955,34.0
956,17.0
957,24.0
958,25.0
959,28.0
960,51.0
961,53.0
965,36.0
966,27.0
967,28.0
968,28.0
969,47.0
970,28.0
971,28.0
972,33.0
973,27.0
974,38.0
975,31.0
976,45.0
977,27.0
978,21.0
979,19.0
980,31.0
981,35.0
983,38.0
984,38.0
985,24.0
986,27.0
987,21.0
988,27.0
989,26.0
