Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
717,"I used to be a developer by profession, but no longer am",No,22.0,20,,,,Ethiopia,,,MariaDB;MySQL,MariaDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",Black or of African descent,Man,,,,HTML/CSS;JavaScript;PHP,HTML/CSS;Java;JavaScript;Objective-C;PHP,,,,Github;Trello,,,Not at all important/not necessary,,,Once a year,Not sure,,Yes,,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,Windows,,,Android,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Laravel;React.js,React.js,Just as welcome now as I felt last year,,2,1
7225,I code primarily as a hobby,Yes,70.0,33,,,,Ethiopia,,,MongoDB;MySQL;PostgreSQL;SQLite,SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Retired,,Man,,,,Dart;HTML/CSS;JavaScript;Kotlin;Python;R;Swift,Dart;HTML/CSS;JavaScript;Objective-C;Python;Ruby;Swift,,,"Github;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",,,Critically important,,,,,,No,,,,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,MacOS,,Android;Heroku;iOS;MacOS;Raspberry Pi,Android;Heroku;iOS;MacOS,,Straight / Heterosexual,No,Neutral,,Daily or almost daily,Easy,,No,Mathematics or statistics,Django;jQuery;React.js;Ruby on Rails,jQuery;Ruby on Rails,,,15,
9680,I am a developer by profession,Yes,,14,,,,Ethiopia,Ethiopian birr,ETB,Firebase;MongoDB;SQLite,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Java;JavaScript;Kotlin;Objective-C;Python;TypeScript,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python,Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine,Node.js,Jira;Github;Gitlab,Github;Gitlab;Trello,No,Extremely important,Somewhat important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,Onboarding? What onboarding?,Yes,Often: 1-2 days per week or more,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Do other work and come back later,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS,Android;Docker;Heroku;Linux;Windows,,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Express;Laravel;React.js;Vue.js,,Just as welcome now as I felt last year,40.0,12,5
9883,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,,21,Monthly,6000.0,2256.0,Ethiopia,Ethiopian birr,ETB,PostgreSQL,MySQL;PostgreSQL;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,I am actively looking for a job,Python,Python,Node.js;Pandas,,Github;Gitlab,Github,No,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,No,Yes,Never,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Heroku;Linux,Heroku;Linux,I have little or no influence,,Yes,"Yes, definitely",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,,"A natural science (such as biology, chemistry, physics, etc.)",Django;Flask,Flask,Just as welcome now as I felt last year,25.0,2,2
10296,I am a developer by profession,Yes,22.0,17,Monthly,8310.0,3120.0,Ethiopia,Ethiopian birr,ETB,MySQL;SQLite,MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, mobile;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Very dissatisfied,I am actively looking for a job,C;C#;C++;HTML/CSS;Java;Kotlin;PHP;Python,C#;C++;HTML/CSS;Java;PHP;Python,.NET,,Github;Facebook Workplace;Stack Overflow for Teams,,No,Somewhat important,Very important,Wanting to share accomplishments with a wider network;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,,Android;Arduino;Linux;Windows,Android,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;jQuery,,A lot more welcome now than last year,4.0,6,4
10338,I am a developer by profession,Yes,29.0,23,Monthly,12000.0,4500.0,Ethiopia,Ethiopian birr,ETB,MongoDB;PostgreSQL,MySQL;Oracle,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Financial performance or funding status of the company or organization;Opportunities for professional development;Family friendliness,Slightly satisfied,I am actively looking for a job,Dart;Kotlin;Python,C#;HTML/CSS;Java;JavaScript;PHP;TypeScript,Flutter;Node.js;Unity 3D;Xamarin,.NET;.NET Core,Stack Overflow for Teams,Github;Gitlab;Slack;Trello,Yes,Extremely important,Fairly important,Looking to relocate,Personal network - friends or family,Every few months,Yes,Yes,No,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,AWS;Docker;Linux,Android;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,,"Computer science, computer engineering, or software engineering",Express;Spring;Symfony,Angular;ASP.NET;ASP.NET Core;Laravel,Somewhat more welcome now than last year,8.0,7,3
10846,I am a developer by profession,No,25.0,21,Monthly,10000.0,3756.0,Ethiopia,Ethiopian birr,ETB,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Office environment or company culture,Very dissatisfied,I am not interested in new job opportunities,Java;JavaScript;Kotlin;SQL,Java;JavaScript;SQL,Node.js,,,,No,Neutral,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos",Once every few years,Yes,No,No,Never,,Annoyed,Stack Overflow (public Q&A for anyone who codes),Play games,Windows,2 to 9 employees,Android;Windows,Android;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Spring,Spring,Just as welcome now as I felt last year,40.0,5,2
11133,I am a developer by profession,Yes,,,,,,Ethiopia,Ethiopian birr,ETB,Microsoft SQL Server,Microsoft SQL Server;MySQL,"Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;HTML/CSS;JavaScript;Kotlin;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;TypeScript,.NET Core,.NET Core,Github,Github;Gitlab,Yes,,Fairly important,,,Every few months,,,Yes,,Visit developer communities like Stack Overflow,,,Visit Stack Overflow;Visit another developer community (please name):,Windows,,,AWS,I have some influence,Straight / Heterosexual,,,,,,,No,"Computer science, computer engineering, or software engineering",ASP.NET Core,Angular.js;ASP.NET;ASP.NET Core;React.js,,,,
13352,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,,17,Monthly,10000.0,3756.0,Ethiopia,Ethiopian birr,ETB,Oracle;SQLite,Microsoft SQL Server;MySQL,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Black or of African descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Apache Spark;Flutter;Pandas,.NET,,,Not sure,Somewhat important,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,Windows,"5,000 to 9,999 employees",Android;Google Cloud Platform;MacOS,Android;AWS;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Angular.js;Django;Drupal,ASP.NET,Somewhat less welcome now than last year,,10,6
14144,I am a developer by profession,Yes,23.0,18,,,,Ethiopia,Ethiopian birr,ETB,Firebase;Microsoft SQL Server,Firebase;Microsoft SQL Server;MySQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Educator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Python;Swift;TypeScript,C#;Dart;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,.NET;.NET Core;Flutter;Node.js;React Native,.NET;.NET Core;Flutter;Node.js,Github;Trello;Stack Overflow for Teams,Github;Trello,,,Critically important,Better compensation;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,,Yes,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;Windows,Android;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;Express;jQuery;React.js,Angular;ASP.NET;ASP.NET Core;Express;jQuery,A lot more welcome now than last year,84.0,5,1
14315,I am a developer by profession,Yes,25.0,19,Monthly,36000.0,13512.0,Ethiopia,Ethiopian birr,ETB,Elasticsearch;Firebase;MySQL,Firebase;MongoDB;PostgreSQL;SQLite,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Industry that I’d be working in;Financial performance or funding status of the company or organization;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;Kotlin;TypeScript,C#;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Flutter,.NET Core;Node.js,,Github;Gitlab;Slack;Trello,No,Somewhat important,Somewhat important,Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Not sure,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,10 to 19 employees,,Android;Docker;Google Cloud Platform;Heroku;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Ruby on Rails;Vue.js,Angular.js;ASP.NET Core;Express;React.js,Just as welcome now as I felt last year,40.0,6,2
15042,I am a developer by profession,Yes,24.0,18,Monthly,10000.0,3756.0,Ethiopia,Ethiopian birr,ETB,DynamoDB;Firebase;MariaDB;PostgreSQL;Redis;SQLite,Firebase;MariaDB;MongoDB;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Dart;Java;JavaScript;Kotlin;Scala;SQL,Java;JavaScript;Kotlin;PHP;SQL,.NET;.NET Core;Flutter;React Native,React Native,Jira;Github;Gitlab;Slack;Trello,Jira;Github;Slack;Trello,Yes,Somewhat important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos",Every few months,Yes,No,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,2 to 9 employees,Android;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Windows;WordPress,Android,I have some influence,,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;React.js;Spring,Express,Just as welcome now as I felt last year,40.0,7,3
16019,I am a student who is learning to code,Yes,22.0,20,,,,Ethiopia,,,Firebase;Microsoft SQL Server;Oracle,MySQL;SQLite,,Some college/university study without earning a degree,Student,Black or of African descent,Man,Industry that I’d be working in;Diversity of the company or organization;Office environment or company culture,,I am actively looking for a job,HTML/CSS;Java;PHP;Python;SQL,Assembly;C;Java;SQL,Unity 3D,,"Github;Google Suite (Docs, Meet, etc)",,,,,,,Every few months,,,No,,Start a free trial,Amused,Stack Overflow Jobs (for job seekers),Call a coworker or friend;Watch help / tutorial videos,Linux-based,,Android;Google Cloud Platform;Linux,,,Bisexual,,,,,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Spring,,,,2,
16244,I am a student who is learning to code,Yes,22.0,19,,,,Ethiopia,,,,,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Scientist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",Black or of African descent,Woman;Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",,"I’m not actively looking, but I am open to new opportunities",C#;JavaScript;Kotlin;Python;Swift,C#;HTML/CSS;JavaScript;PHP;Python,Pandas;Torch/PyTorch;Unity 3D;Unreal Engine;Xamarin,.NET;.NET Core;Pandas,,,,,,,,Once every few years,Yes,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,,Android;iOS;Linux;MacOS;Windows,Windows,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Less than once per month or monthly,Easy,Appropriate in length,No,,,,,,4,
16291,I am a developer by profession,No,23.0,18,Monthly,3000.0,1128.0,Ethiopia,Ethiopian birr,ETB,MySQL;SQLite,DynamoDB;MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,Very dissatisfied,I am not interested in new job opportunities,Go;HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,Node.js;TensorFlow,Node.js,Github;Trello,Github;Slack;Trello,,,Fairly important,Better compensation,,Every few months,No,,No,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Panic,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;AWS;Docker;Heroku;Windows,Android;Heroku;Windows;WordPress,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Laravel,Angular;Laravel,Somewhat more welcome now than last year,30.0,5,2
18005,I am a developer by profession,Yes,37.0,20,Yearly,691200.0,21614.0,Ethiopia,Ethiopian birr,ETB,Elasticsearch;Firebase;MongoDB;Redis,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;Python;Ruby,HTML/CSS;JavaScript;PHP,Ansible;Flutter;Node.js;React Native;TensorFlow,Node.js,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Critically important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS,Docker;Heroku;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Drupal;Express;Gatsby;React.js;Ruby on Rails;Vue.js,Angular;Drupal;Express;Gatsby;React.js,Just as welcome now as I felt last year,40.0,18,14
